stem,n,prev,p,rho,typ,stability_method,pair_agg,pi_main,pi_inter,implied_pfer_main,implied_pfer_inter,chosen_total,stable_total,true_total,chosen_and_stable,chosen_and_true,stable_and_true,all_three,F1,precision,recall,TP,FP,FN,n_stable,all_three_rate,stable_true_rate,all_three_percent,stable_true_percent
simulated_dataset_500_0.05_500_0.5,500,0.05,500,0.5,mains,stability,,,,,,0,1,10,0,0,1,0,0.18181818181818182,1.0,0.1,1,0,9,1,0.0,0.1,0.0,10.0
simulated_dataset_500_0.05_500_0.5,500,0.05,500,0.5,interactions,stability,,,,,,0,0,10,0,0,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_500_0.05_500_0.8,500,0.05,500,0.8,mains,stability,,,,,,9,1,10,1,0,0,0,0.0,0.0,0.0,0,1,10,1,0.0,0.0,0.0,0.0
simulated_dataset_500_0.05_500_0.8,500,0.05,500,0.8,interactions,stability,,,,,,0,0,10,0,0,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_500_0.2_20_0.0,500,0.2,20,0.0,mains,stability,,,,,,8,19,10,8,4,9,4,0.6206896551724138,0.47368421052631576,0.9,9,10,1,19,0.4,0.9,40.0,90.0
simulated_dataset_500_0.2_20_0.0,500,0.2,20,0.0,interactions,stability,,,,,,2,87,10,2,2,10,2,0.20618556701030927,0.11494252873563218,1.0,10,77,0,87,0.2,1.0,20.0,100.0
simulated_dataset_500_0.2_20_0.5,500,0.2,20,0.5,mains,stability,,,,,,12,20,10,12,7,10,7,0.6666666666666666,0.5,1.0,10,10,0,20,0.7,1.0,70.0,100.0
simulated_dataset_500_0.2_20_0.5,500,0.2,20,0.5,interactions,stability,,,,,,18,90,10,18,5,10,5,0.2,0.1111111111111111,1.0,10,80,0,90,0.5,1.0,50.0,100.0
simulated_dataset_500_0.2_20_0.8,500,0.2,20,0.8,mains,stability,,,,,,4,20,10,4,2,10,2,0.6666666666666666,0.5,1.0,10,10,0,20,0.2,1.0,20.0,100.0
simulated_dataset_500_0.2_20_0.8,500,0.2,20,0.8,interactions,stability,,,,,,21,90,10,21,2,10,2,0.2,0.1111111111111111,1.0,10,80,0,90,0.2,1.0,20.0,100.0
simulated_dataset_500_0.2_500_0.0,500,0.2,500,0.0,mains,stability,,,,,,5,6,10,3,2,2,2,0.25,0.3333333333333333,0.2,2,4,8,6,0.2,0.2,20.0,20.0
simulated_dataset_500_0.2_500_0.0,500,0.2,500,0.0,interactions,stability,,,,,,0,0,10,0,0,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_500_0.2_500_0.5,500,0.2,500,0.5,mains,stability,,,,,,10,4,10,4,3,1,1,0.14285714285714285,0.25,0.1,1,3,9,4,0.1,0.1,10.0,10.0
simulated_dataset_500_0.2_500_0.5,500,0.2,500,0.5,interactions,stability,,,,,,8,0,10,0,6,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_500_0.2_500_0.8,500,0.2,500,0.8,mains,stability,,,,,,17,5,10,3,1,1,1,0.13333333333333333,0.2,0.1,1,4,9,5,0.1,0.1,10.0,10.0
simulated_dataset_500_0.2_500_0.8,500,0.2,500,0.8,interactions,stability,,,,,,7,0,10,0,1,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_500_0.5_20_0.0,500,0.5,20,0.0,mains,stability,,,,,,9,16,10,9,6,7,6,0.5384615384615384,0.4375,0.7,7,9,3,16,0.6,0.7,60.0,70.0
simulated_dataset_500_0.5_20_0.0,500,0.5,20,0.0,interactions,stability,,,,,,11,14,10,9,4,4,4,0.3333333333333333,0.2857142857142857,0.4,4,10,6,14,0.4,0.4,40.0,40.0
simulated_dataset_500_0.5_20_0.5,500,0.5,20,0.5,mains,stability,,,,,,11,19,10,11,6,9,6,0.6206896551724138,0.47368421052631576,0.9,9,10,1,19,0.6,0.9,60.0,90.0
simulated_dataset_500_0.5_20_0.5,500,0.5,20,0.5,interactions,stability,,,,,,8,89,10,8,4,10,4,0.20202020202020202,0.11235955056179775,1.0,10,79,0,89,0.4,1.0,40.0,100.0
simulated_dataset_500_0.5_20_0.8,500,0.5,20,0.8,mains,stability,,,,,,14,19,10,14,6,9,6,0.6206896551724138,0.47368421052631576,0.9,9,10,1,19,0.6,0.9,60.0,90.0
simulated_dataset_500_0.5_20_0.8,500,0.5,20,0.8,interactions,stability,,,,,,27,90,10,27,6,10,6,0.2,0.1111111111111111,1.0,10,80,0,90,0.6,1.0,60.0,100.0
simulated_dataset_500_0.5_500_0.0,500,0.5,500,0.0,mains,stability,,,,,,11,0,10,0,0,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_500_0.5_500_0.0,500,0.5,500,0.0,interactions,stability,,,,,,10,0,10,0,8,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_500_0.5_500_0.5,500,0.5,500,0.5,mains,stability,,,,,,26,12,10,8,2,2,2,0.18181818181818182,0.16666666666666666,0.2,2,10,8,12,0.2,0.2,20.0,20.0
simulated_dataset_500_0.5_500_0.5,500,0.5,500,0.5,interactions,stability,,,,,,0,0,10,0,0,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
simulated_dataset_500_0.5_500_0.8,500,0.5,500,0.8,mains,stability,,,,,,14,4,10,1,1,1,1,0.14285714285714285,0.25,0.1,1,3,9,4,0.1,0.1,10.0,10.0
simulated_dataset_500_0.5_500_0.8,500,0.5,500,0.8,interactions,stability,,,,,,0,0,10,0,0,0,0,0.0,0.0,0.0,0,0,10,0,0.0,0.0,0.0,0.0
