alpha,cv_requested,cv_mean_used,max_interaction_terms,mean_average_precision,std_average_precision,fold_failures
0.1,0.2,0.31666733333333336,50,0.24050126901410285,0.010505042358747371,1
0.1,0.1,0.250001,20,0.24041599538875608,0.007920683280640273,1
0.7,0.3,0.30000099999999996,50,0.2401591123774668,0.025186418564773102,0
0.7,0.2,0.200001,10,0.23974895397453225,0.01319549808926902,0
0.05,0.2,0.31666733333333336,50,0.23959464932458768,0.0006282695803668664,1
0.05,0.4,0.466667,100,0.2388190118131108,0.0,2
0.7,0.3,0.30000099999999996,100,0.23740396144853457,0.02759143704651936,0
0.05,0.05,0.3208193793549647,20,0.2360201119123814,0.0,2
0.7,0.3,0.30000099999999996,5,0.2350785803825878,0.008802663740316732,0
0.5,0.3,0.30000099999999996,10,0.23422167242371209,0.00467192941207605,0
0.3,0.4,0.400001,100,0.2332507023085589,0.057146753507816034,0
0.7,0.2,0.200001,5,0.23239655356477637,0.024247943519885778,0
0.05,0.4,0.4833336666666666,50,0.22946778735308693,0.0,2
0.5,0.3,0.30000099999999996,50,0.2221725406935664,0.025337052976828388,0
0.3,0.2,0.30000066666666664,20,0.22152443182673898,0.0016117265434594241,1
0.5,0.4,0.400001,100,0.22151997857259317,0.024463761058934275,0
0.05,0.1,0.33333433333333323,50,0.21353412351323392,0.0,2
0.3,0.4,0.400001,50,0.21315365473131376,0.013753530386599681,0
0.3,0.3,0.4333336666666667,10,0.21113654112200742,0.0,2
0.3,0.2,0.28333433333333335,50,0.20775703652506305,0.01009521875407513,0
0.1,0.4,0.466667,100,0.201955907208448,0.0,2
0.3,0.4,0.43333400000000005,10,0.19765124986344063,0.029897069322575312,1
0.05,0.3,0.4333336666666667,50,0.19280571672851995,0.0,2
0.05,0.05,0.454152712688298,5,,,3
0.05,0.05,0.454152712688298,10,,,3
0.05,0.1,0.45000099999999993,5,,,3
0.05,0.1,0.45000099999999993,10,,,3
0.05,0.1,0.45000099999999993,20,,,3
0.05,0.2,0.5,5,,,3
0.05,0.2,0.5,10,,,3
0.05,0.2,0.5,20,,,3
0.05,0.3,0.5,5,,,3
0.05,0.3,0.5,10,,,3
0.05,0.3,0.5,20,,,3
0.05,0.4,0.5,5,,,3
0.05,0.4,0.5,10,,,3
0.05,0.4,0.5,20,,,3
0.1,0.05,0.454152712688298,5,,,3
0.1,0.1,0.45000099999999993,5,,,3
0.1,0.2,0.5,5,,,3
0.1,0.2,0.5,10,,,3
0.1,0.3,0.5,5,,,3
0.1,0.3,0.5,10,,,3
0.1,0.3,0.5,20,,,3
0.1,0.4,0.5,5,,,3
0.1,0.4,0.5,10,,,3
0.1,0.4,0.5,20,,,3
0.1,0.4,0.5,50,,,3
0.3,0.3,0.5,5,,,3
0.3,0.4,0.5,5,,,3
